Index;Year;Title;Pages;Link;Folder;Downloaded;Autor;publikationsdatum;Reisedaten;gesamtseitenzahl;Digitalisat;Zitierfähige URL
1;1586;Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Seite(n)99;https://www.digitale-sammlungen.de/en/view/bsb11211065?page=98,99;001_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei;;Hans von Mergenthal;1586;1476 bis 1476;120;BSB München;https://reise.isgv.de/logs/Q109944034
2;1586;Gründliche vnd warhafftige beschreibung Der Löblichen vnd Ritterlichen Reise vnd Meerfart in das heilige Land nach Hierusalem;Seite(n)23-24;https://www.digitale-sammlungen.de/en/view/bsb11211065?page=22,23;002_1586_Gründliche_vnd_warhafftige_beschreibung_Der_Löblichen_vnd_Ritterlichen_Reise_vnd_Meerfart_in_das_hei;;Hans von Mergenthal;1586;1476 bis 1476;120;BSB München;https://reise.isgv.de/logs/Q109944034
3;1604;Delitiarum Germaniae, tam superioris quam inferioris, Index simul & viatorius, indicans Itinera ex Augusta Vindelicorum, ad omnes civitates & oppida, tam in superiori quam inferiori Germania;Seite(n)155-156;https://www.digitale-sammlungen.de/de/view/bsb11095441?page=,1;003_1604_Delitiarum_Germaniae,_tam_superioris_quam_inferioris,_Index_simul_&_viatorius,_indicans_Itinera_ex_A;;Matthias Quad;1604;Kein Eintrag vorhanden;299;BSB München;https://reise.isgv.de/logs/Q109944049
4;1606;Summarische Verzeichnus einer Reyß, so der … Herr Friderich Hertzog zu Würtemberg und Teck … [et]c. im Jahr Christi 1580 gethon;Seite(n)12;https://diglib.hab.de/wdb.php?dir=drucke/gm-4947&pointer=19;004_1606_Summarische_Verzeichnus_einer_Reyß,_so_der_…_Herr_Friderich_Hertzog_zu_Würtemberg_und_Teck_…_[et]c._;;Friedrich I. von Württemberg;1606;1580;29;HAB Wolfenbüttel;https://reise.isgv.de/logs/Q109943966
5;1609;Deliciarum Germaniae, Tam Superioris Quam Inferioris;Seite(n)285-287;https://www.digitale-sammlungen.de/de/view/bsb11095130?page=303;005_1609_Deliciarum_Germaniae,_Tam_Superioris_Quam_Inferioris;;Gaspar Ens;1609;Kein Eintrag vorhanden;320;BSB München;https://reise.isgv.de/logs/Q109943950
6;1632;Itinerarium Germaniae Nov-Antiquae. Teutsches Reyßbuch durch Hoch- und Nider-Teutschland auch angräntzende, unnd benachbarte Königreich, Fürstenthumb und Lande;Seite(n)386-393;https://archive.org/details/itinerariumgerma00zeil/page/n409/mode/2up;006_1632_Itinerarium_Germaniae_Nov-Antiquae._Teutsches_Reyßbuch_durch_Hoch-_und_Nider-Teutschland_auch_angrän;;Martin Zeiller;1632;Kein Eintrag vorhanden;489;Link;https://reise.isgv.de/logs/Q109944118
8;1690;Denckwürdige Reisebeschreibung durch Deutschland, Italien, Spanien, Portugall, Engeland, Franckreich und Schweitz;Seite(n)1002-1065;https://www.digitale-sammlungen.de/de/view/bsb10467335?page=1048;008_1690_Denckwürdige_Reisebeschreibung_durch_Deutschland,_Italien,_Spanien,_Portugall,_Engeland,_Franckreich;;Johannes Limberg;1690;Kein Eintrag vorhanden;1068;BSB München;https://reise.isgv.de/logs/Q109944016
9;1706;Die vornehmsten europäischen Reisen, wie solche durch Deutschland, Franckreich, Italien, Holl-und England, Dännemarck und Schweden anzustellen;Seite(n)56-57;https://digital.slub-dresden.de/werkansicht/dlf/57275/122;009_1706_Die_vornehmsten_europäischen_Reisen,_wie_solche_durch_Deutschland,_Franckreich,_Italien,_Holl-und_En;;Peter Ambrosius Lehmann;1706;Kein Eintrag vorhanden;528;SLUB Dresden;https://reise.isgv.de/logs/Q109944013
10;1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)602-604;https://digital.slub-dresden.de/werkansicht/dlf/3736/620;010_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
11;1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)534-544;https://digital.slub-dresden.de/werkansicht/dlf/3736/552;011_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
12;1735;Curieuse Reise-Beschreibung des Herrn Androphili;Seite(n)462-517;https://digital.slub-dresden.de/werkansicht/dlf/3736/480;012_1735_Curieuse_Reise-Beschreibung_des_Herrn_Androphili;;Androphilus;1735;Kein Eintrag vorhanden;782;SLUB Dresden;https://reise.isgv.de/logs/Q109943920
13;1738;Briefe, welche das Merkwürdigste von seinen Reisen und die Eigenschaften derjenigen Personen, woraus die vornehmsten Höfe von Europa bestehen, in sich enthalten;Seite(n)140-194;https://www.digitale-sammlungen.de/de/view/bsb10467756?page=152;013_1738_Briefe,_welche_das_Merkwürdigste_von_seinen_Reisen_und_die_Eigenschaften_derjenigen_Personen,_woraus;;Karl Ludwig von Pöllnitz;1738;Kein Eintrag vorhanden;463;BSB München;https://reise.isgv.de/logs/Q109944047
14;1739;Eines berühmten Cavaliers aus Schlesien, Curieuse Reisen durch Europa, in welcher allerhand Merckwürdigkeiten zu finden;Seite(n)428-437;https://digital.slub-dresden.de/werkansicht/dlf/55211/456;014_1739_Eines_berühmten_Cavaliers_aus_Schlesien,_Curieuse_Reisen_durch_Europa,_in_welcher_allerhand_Merckwür;;Georg von Fürst;1739;Kein Eintrag vorhanden;460;SLUB Dresden;https://reise.isgv.de/logs/Q109943970
15;1740;Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweitz, Italien und Lothringen;Seite(n)1052-1097;https://www.digitale-sammlungen.de/de/view/bsb11211808?page=1022;015_1740_Neueste_Reisen_durch_Deutschland,_Böhmen,_Ungarn,_die_Schweitz,_Italien_und_Lothringen;;Johann Georg Keyssler;1740;Kein Eintrag vorhanden;1344;BSB München;https://reise.isgv.de/logs/Q109943995
16;1741;Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Seite(n)94;https://digital.slub-dresden.de/werkansicht/dlf/111740/118;016_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;;Johann Andreas Silbermann;1741;1741;438;SLUB Dresden;https://reise.isgv.de/logs/Q109944172
17;1741;Anmerckungen derer Auf meiner Sächsischen Reysse gesehenen Merckwürdigkeiten Wie ich solche an unterschiedenen Orten meist nur kürtzlich aufgeschrieben;Seite(n)48-50;https://digital.slub-dresden.de/werkansicht/dlf/111740/68;017_1741_Anmerckungen_derer_Auf_meiner_Sächsischen_Reysse_gesehenen_Merckwürdigkeiten_Wie_ich_solche_an_unter;;Johann Andreas Silbermann;1741;1741;438;SLUB Dresden;https://reise.isgv.de/logs/Q109944172
21;1774;Briefe eines aufmerksamen Reisenden die Musik betreffend;Seite(n)109-122;https://archive.org/details/BriefeEinesAufmerksamenReisendenDieMusikBetreffendBd.21776/page/n107/mode/2up;021_1774_Briefe_eines_aufmerksamen_Reisenden_die_Musik_betreffend;;Johann Friedrich Reichardt;1774;Kein Eintrag vorhanden;134;Link;https://reise.isgv.de/logs/Q109944057
24;1777;Briefe eines jungen Reisenden durch Liefland, Kurland und Deutschland;Seite(n)180-183;https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34;024_1777_Briefe_eines_jungen_Reisenden_durch_Liefland,_Kurland_und_Deutschland;;Andreas Meyer;1777;Kein Eintrag vorhanden;668;HAAB;https://reise.isgv.de/logs/Q109944035
25;1779;Briefe eines Engländers auf seiner Reise nach Berlin, Dresden, Wien, Haag, Rom, Neapolis und Ferney;Seite(n)30-37;https://www.digitale-sammlungen.de/de/view/bsb10621069?page=34;025_1779_Briefe_eines_Engländers_auf_seiner_Reise_nach_Berlin,_Dresden,_Wien,_Haag,_Rom,_Neapolis_und_Ferney;;Martin Sherlock;1779;Kein Eintrag vorhanden;134;BSB München;https://reise.isgv.de/logs/Q109944086
26;1780;Freundschaftliche Nachrichten von einer Carlsbader Brunnenreise;Seite(n)90-96;https://digital.slub-dresden.de/werkansicht/dlf/66140/102;026_1780_Freundschaftliche_Nachrichten_von_einer_Carlsbader_Brunnenreise;;Johann Peter Willebrand;1780;Kein Eintrag vorhanden;360;SLUB Dresden;https://reise.isgv.de/logs/Q109944112
27;1780;Emanuel Hartensteins, eines perigrinirenden Weltbürgers, Reise von Berlin über Rostock nach Dreßden;Seite(n)158-162;https://www.digitale-sammlungen.de/de/view/bsb11251733?page=162;027_1780_Emanuel_Hartensteins,_eines_perigrinirenden_Weltbürgers,_Reise_von_Berlin_über_Rostock_nach_Dreßden;;Christian Wilhelm Kindleben;1780;Kein Eintrag vorhanden;232;BSB München;https://reise.isgv.de/logs/Q109943996
29;1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)14-30;https://digital.slub-dresden.de/werkansicht/dlf/79601/26;029_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;;Johann Carl Conrad Oelrichs;1782;1750;452;SLUB Dresden;https://reise.isgv.de/logs/Q109944040
30;1782;Tagebuch einer gelehrten Reise 1750 durch einen Theil von Ober- und Nieder-Sachsen;Seite(n)13-14;https://digital.slub-dresden.de/werkansicht/dlf/79601/25;030_1782_Tagebuch_einer_gelehrten_Reise_1750_durch_einen_Theil_von_Ober-_und_Nieder-Sachsen;;Johann Carl Conrad Oelrichs;1782;1750;452;SLUB Dresden;https://reise.isgv.de/logs/Q109944040
31;1782;Bemerkungen über verschiedene Gegenstände auf einer Reise durch einige deutsche Provinzen;Seite(n)168-207;https://www.digitale-sammlungen.de/de/view/bsb10470130?page=188;031_1782_Bemerkungen_über_verschiedene_Gegenstände_auf_einer_Reise_durch_einige_deutsche_Provinzen;;Georg Heinrich Hollenberg;1782;Kein Eintrag vorhanden;255;BSB München;https://reise.isgv.de/logs/Q109943990
32;1782;Reise von Dresden nach Teplitz in Böhmen;Seite(n)29;https://www.digitale-sammlungen.de/de/view/bsb10008768?page=41;032_1782_Reise_von_Dresden_nach_Teplitz_in_Böhmen;;Wilhelm Gottlieb Becker;1782;Kein Eintrag vorhanden;36;BSB München;https://reise.isgv.de/logs/Q109943918
34;1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)312-313;https://digital.slub-dresden.de/werkansicht/dlf/79016/322;034_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;;Kein Eintrag vorhanden;1783;1783;38;SLUB Dresden;https://reise.isgv.de/logs/Q109944147
35;1783;Herrn G. E. von R. Reise von Wien nach Böhmen und Sachsen, im May 1783;Seite(n)299-304;https://digital.slub-dresden.de/werkansicht/dlf/79016/309;035_1783_Herrn_G._E._von_R._Reise_von_Wien_nach_Böhmen_und_Sachsen,_im_May_1783;;Kein Eintrag vorhanden;1783;1783;38;SLUB Dresden;https://reise.isgv.de/logs/Q109944147
36;1783;Briefe eines reisenden Franzosen über Deutschland. An seinen Bruder zu Paris;Seite(n)6-19;https://www.digitale-sammlungen.de/de/view/bsb10467957?page=6;036_1783_Briefe_eines_reisenden_Franzosen_über_Deutschland._An_seinen_Bruder_zu_Paris;;Johann Kaspar Riesbeck;1783;Kein Eintrag vorhanden;412;BSB München;https://reise.isgv.de/logs/Q109944061
37;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)127-132;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=137;037_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
38;1783;Bemerkungen auf einer Reise durch die Lausitz und Sachsen;Seite(n)124;https://www.digitale-sammlungen.de/de/view/bsb10926840?page=134;038_1783_Bemerkungen_auf_einer_Reise_durch_die_Lausitz_und_Sachsen;;Christian Gottfried Klose;1783;Kein Eintrag vorhanden;39;BSB München;https://reise.isgv.de/logs/Q109943999
45;1785;Eine Frühlingsreise über Halle, Leipzig und Altenburg nach Dresden im Jahre 1784;Seite(n)372-373;https://www.digitale-sammlungen.de/de/view/bsb10614688?page=384;045_1785_Eine_Frühlingsreise_über_Halle,_Leipzig_und_Altenburg_nach_Dresden_im_Jahre_1784;;Joachim Christoph Friedrich Schulz;1785;1784;562;BSB München;https://reise.isgv.de/logs/Q109944075
46;1785;Beschreibung seiner Reise durch Ober- und Nieder-Sachsen und Hessen;Seite(n)111-139;https://digital.slub-dresden.de/werkansicht/dlf/55914/125;046_1785_Beschreibung_seiner_Reise_durch_Ober-_und_Nieder-Sachsen_und_Hessen;;Jonas Apelblad;1785;1755;366;SLUB Dresden;https://reise.isgv.de/logs/Q109943912
49;1786;Kleine Wanderungen durch Teutschland;Seite(n)142-220;https://www.digitale-sammlungen.de/de/view/bsb10468145?page=146;049_1786_Kleine_Wanderungen_durch_Teutschland;;Joachim Christoph Friedrich Schulz;1786;Kein Eintrag vorhanden;220;BSB München;https://reise.isgv.de/logs/Q109944076
50;1786;Briefe über Sachsen von einem Reisenden;Seite(n)59-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=62,63;050_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
51;1786;Briefe über Sachsen von einem Reisenden;Seite(n)54-56;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=58,59;051_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
52;1786;Briefe über Sachsen von einem Reisenden;Seite(n)52-53;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=56,57;052_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
53;1786;Briefe über Sachsen von einem Reisenden;Seite(n)49-51;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=52,53;053_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
54;1786;Briefe über Sachsen von einem Reisenden;Seite(n)47;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=50,51;054_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
55;1786;Briefe über Sachsen von einem Reisenden;Seite(n)16-68;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=20,21;055_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
56;1786;Briefe über Sachsen von einem Reisenden;Seite(n)14-16;https://www.digitale-sammlungen.de/de/view/bsb10466437?q=%28Briefe+%C3%BCber+Sachsen+von+einem+Reisenden%29&page=18,19;056_1786_Briefe_über_Sachsen_von_einem_Reisenden;;Christian Gottfried Klose;1786;Kein Eintrag vorhanden;156;BSB München;https://reise.isgv.de/logs/Q109944000
57;1787;Briefe über Herrnhut und andere Orte der Oberlausitz;Seite(n)9-12;https://digital.slub-dresden.de/werkansicht/dlf/2424/29;057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz;;Christian Gottlieb Schmidt;1787;Kein Eintrag vorhanden;184;SLUB Dresden;https://reise.isgv.de/logs/Q109944069
58;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)69-71;https://digital.slub-dresden.de/werkansicht/dlf/55644/83;058_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
59;1787;Reise von Wien über Prag, Dresden und durch einen Theil der Lausitz nach Berlin und Potsdam;Seite(n)13-49;https://digital.slub-dresden.de/werkansicht/dlf/55644/27;059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam;;Gottfried von Rotenstein;1787;1784;134;SLUB Dresden;https://reise.isgv.de/logs/Q105102299
60;1789;Bemerkungen auf der Reise durch Frankreich, Italien und Deutschland;Seite(n)350-374;https://www.digitale-sammlungen.de/de/view/bsb10467735?page=352;060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland;;Hester Thrale;1789;Kein Eintrag vorhanden;413;BSB München;https://reise.isgv.de/logs/Q109944043
61;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)142-144;https://digital.slub-dresden.de/werkansicht/dlf/1821/154;061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
62;1790;Bemerkungen auf einer Reise von Thorn durch Posen nach Sachsen;Seite(n)106-122;https://digital.slub-dresden.de/werkansicht/dlf/1821/118;062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen;;Johann Christoph Hornuff;1790;Kein Eintrag vorhanden;192;SLUB Dresden;https://reise.isgv.de/logs/Q109943992
